list_order,name,brand_slug,processor_type,suggested_slug,suggested_sku,source_list_url,price,compareAtPrice,stock_decision,notes
451,Gigabyte Z890 EAGLE WIFI7 LGA 1851 ATX Motherboard,gigabyte,Intel,gigabyte-z890-eagle-wifi7-lga-1851-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z890-EAGLE-LGA-1851,https://www.startech.com.bd/gigabyte-z890-eagle-wifi7-atx-motherboard,,,REVIEW,
452,Asus ROG STRIX B760-A GAMING WIFI DDR5 ATX Motherboard,asus,Intel,asus-rog-strix-b760-a-gaming-wifi-ddr5-atx-motherboard,MB-ASUS-ASUS-ROG-STRIX-B760-A-GAMING,https://www.startech.com.bd/asus-rog-strix-b760-a-gaming-wifi-motherboard,,,REVIEW,
453,ASUS TUF GAMING B760M-BTF WIFI micro-ATX Motherboard,asus,Intel,asus-tuf-gaming-b760m-btf-wifi-micro-atx-motherboard,MB-ASUS-ASUS-TUF-GAMING-B760M-BTF,https://www.startech.com.bd/asus-tuf-gaming-b760m-btf-wifi-motherboard,,,REVIEW,
454,MSI PRO Z890-P WIFI LGA 1851 ATX Motherboard,msi,Intel,msi-pro-z890-p-wifi-lga-1851-atx-motherboard,MB-MSI-MSI-PRO-Z890-P-LGA-1851,https://www.startech.com.bd/msi-pro-z890-p-wifi-atx-motherboard,,,REVIEW,
455,MSI PRO Z890-S WIFI LGA 1851 ATX Motherboard,msi,Intel,msi-pro-z890-s-wifi-lga-1851-atx-motherboard,MB-MSI-MSI-PRO-Z890-S-LGA-1851,https://www.startech.com.bd/msi-pro-z890-s-wifi-motherboard,,,REVIEW,
456,MSI MAG Z790 TOMAHAWK WIFI DDR4 ATX Motherboard,msi,Intel,msi-mag-z790-tomahawk-wifi-ddr4-atx-motherboard,MB-MSI-MSI-MAG-Z790-TOMAHAWK,https://www.startech.com.bd/msi-mag-z790-tomahawk-wifi-ddr4-atx-motherboard,,,REVIEW,
457,Asus TUF GAMING B850-PLUS WIFI ATX Motherboard,asus,,asus-tuf-gaming-b850-plus-wifi-atx-motherboard,MB-ASUS-ASUS-TUF-GAMING-B850-PLUS,https://www.startech.com.bd/asus-tuf-gaming-b850-plus-wifi-motherboard,,,REVIEW,
458,MSI MAG B850 TOMAHAWK MAX WIFI AM5 ATX Motherboard,msi,AMD,msi-mag-b850-tomahawk-max-wifi-am5-atx-motherboard,MB-MSI-MSI-MAG-B850-TOMAHAWK-MAX-AM5,https://www.startech.com.bd/msi-mag-b850-tomahawk-max-wifi-motherboard,,,REVIEW,
459,ASUS TUF GAMING Z790-PLUS WIFI D4 ATX Motherboard,asus,Intel,asus-tuf-gaming-z790-plus-wifi-d4-atx-motherboard,MB-ASUS-ASUS-TUF-GAMING-Z790-PLUS-D4,https://www.startech.com.bd/asus-tuf-gaming-z790-plus-wifi-d4-motherboard,,,REVIEW,
460,GIGABYTE Z790 AORUS ELITE ATX Motherboard,gigabyte,Intel,gigabyte-z790-aorus-elite-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z790-AORUS-ELITE,https://www.startech.com.bd/gigabyte-z790-aorus-elite-motherboard,,,REVIEW,
461,ASUS ROG STRIX B760-F GAMING WIFI DDR5 Motherboard,asus,Intel,asus-rog-strix-b760-f-gaming-wifi-ddr5-motherboard,MB-ASUS-ASUS-ROG-STRIX-B760-F-GAMING,https://www.startech.com.bd/asus-rog-strix-b760-f-gaming-wifi-ddr5-motherboard,,,REVIEW,
462,MSI X870 GAMING PLUS WIFI AM5 Motherboard,msi,AMD,msi-x870-gaming-plus-wifi-am5-motherboard,MB-MSI-MSI-X870-GAMING-PLUS-AM5,https://www.startech.com.bd/msi-x870-gaming-plus-wifi-motherboard,,,REVIEW,
463,ASUS Z790-AYW WIFI W II LGA1700 ATX Motherboard,asus,Intel,asus-z790-ayw-wifi-w-ii-lga1700-atx-motherboard,MB-ASUS-ASUS-Z790-AYW-W-II-LGA1700,https://www.startech.com.bd/asus-z790-ayw-wifi-w-ii-motherboard,,,REVIEW,
464,GIGABYTE Z790 AORUS ELITE AX ICE ATX Motherboard,gigabyte,Intel,gigabyte-z790-aorus-elite-ax-ice-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z790-AORUS-ELITE-AX-ICE,https://www.startech.com.bd/gigabyte-z790-aorus-elite-ax-ice-atx-motherboard,,,REVIEW,
465,ASUS ProArt B650-CREATOR AM5 DDR5 ATX Motherboard,asus,AMD,asus-proart-b650-creator-am5-ddr5-atx-motherboard,MB-ASUS-ASUS-PROART-B650-CREATOR-AM5,https://www.startech.com.bd/asus-proart-b650-creator-atx-motherboard,,,REVIEW,
